X,Y,OBJECTID,ADDRESS,CITY,COLLEGENAME
2097579.099876806139946,741713.299901887774467,1,2101 Hillsborough Street,Raleigh,NC State University - Main Campus
2092280.800105974078178,744629.599843546748161,2,3800 Hillsborough Street,Raleigh,Meredith College
2095116.400077819824219,736981.100048720836639,3,1007 Capability Road,Raleigh,NCSU Centennial Campus
2107642.600090980529785,735692.700066462159157,4,118 South Street,Raleigh,Shaw University
2112692.799964308738708,741014.500118374824524,5,1315 Oakwood Avenue,Raleigh,St. Augustine College
2144424.999951228499413,812169.599933877587318,6,219 S. Wingate Street,Wake Forest,Southeastern Baptist Seminary
2087623.399971976876259,692108.900095134973526,7,9101 Fayetteville Road,Wake County,Wake Technical College Southern Wake Campus
2107440.00010247528553,742210.100089386105537,8,15 E. Peace Street,Raleigh,William Peace University
2134938.200027227401733,770863.000132545828819,9,6600 Louisburg Rd ,Raleigh,Wake Technical College Northern Wake Campus
2060739.100066140294075,711927.599958971142769,10,3434 Kildaire Farm Rd,Cary,Wake Technical College Western Wake Campus
2122848.00012631714344,740698.100160628557205,11,2901 Holston Ln,Raleigh,Wake Technical College Perry Health Sciences Campus
2049019.599883139133453,766080.999854043126106,12,10908 Chapel Hill Rd,Morrisville,Wake Technical College RTP Campus
2104581.399848565459251,722558.999955967068672,13,321 Chapanoke Rd,Raleigh,Wake Technical College Public Safety Education Campus
2105868.39989922940731,729089.000019297003746,14,2200 South Wilmington Street,Raleigh,Vernon Malone College and Career Academy
2055585.500137150287628,758889.400064051151276,15,808 Aviation Pkwy #1100,Morrisville,Campbell University ext.
2105852.499996647238731,739116.799845546483994,16,225 Hillsborough St,Raleigh,Campbell University Law School
2114659.983037814497948,755005.982634052634239,17,3200 Bush St,Raleigh,Wake Technical College Beltline Education Center
2205383.668059900403023,757267.557179138064384,18,519 N Industrial Dr,Zebulon,Wake Technical College Eastern Wake Education Center
